tsp_func,num_verts,length,time,memory,dist_type
Twice around the tree,16,420,2.3937225341796876e-05,151.48046875,Euclides
Twice around the tree,16,596,1.5934308369954426e-05,151.48828125,Manhattan
Christofides,16,402,0.00018090407053629557,151.625,Euclides
Christofides,16,490,6.899436314900716e-05,151.64453125,Manhattan
Twice around the tree,32,666,3.107786178588867e-05,151.9140625,Euclides
Twice around the tree,32,862,3.123680750528972e-05,151.9375,Manhattan
Christofides,32,551,0.00029743115107218424,152.03125,Euclides
Christofides,32,708,0.00024490753809611003,152.046875,Manhattan
Twice around the tree,64,790,0.00010936260223388672,153.16796875,Euclides
Twice around the tree,64,1080,0.00011710723241170247,153.3984375,Manhattan
Christofides,64,670,0.001108392079671224,153.65234375,Euclides
Christofides,64,898,0.0008439461390177409,153.65234375,Manhattan
Twice around the tree,128,1146,0.0004398385683695475,158.02734375,Euclides
Twice around the tree,128,1578,0.0010727961858113606,157.90234375,Manhattan
Christofides,128,976,0.0060588598251342775,159.03515625,Euclides
Christofides,128,1230,0.006648743152618408,158.546875,Manhattan
Twice around the tree,256,1594,0.002506514390309652,177.0546875,Euclides
Twice around the tree,256,2050,0.0021371006965637206,176.7578125,Manhattan
Christofides,256,1290,0.026560576756795247,179.8515625,Euclides
Christofides,256,1734,0.03657291332880656,177.07421875,Manhattan
Twice around the tree,512,2237,0.009438069661458333,257.84765625,Euclides
Twice around the tree,512,2968,0.010611796379089355,257.19921875,Manhattan
Christofides,512,1815,0.1572474241256714,260.25,Euclides
Christofides,512,2444,0.19398216406504312,256.328125,Manhattan
Twice around the tree,1024,3005,0.043944382667541505,586.06640625,Euclides
Twice around the tree,1024,4024,0.05071582396825155,580.234375,Manhattan
Christofides,1024,2422,1.2030156175295512,598.40625,Euclides
Christofides,1024,3338,1.7367631634076437,572.578125,Manhattan
