tsp_func,num_verts,length,time,dist_type
Twice around the tree,1000,2923,0.04543724060058594,Euclides
Twice around the tree,1000,4004,0.05016337633132935,Manhattan
Twice around the tree,1200,3300,0.06851522127787273,Euclides
Twice around the tree,1200,4440,0.0709388534228007,Manhattan
Twice around the tree,1400,3482,0.08712797164916992,Euclides
Twice around the tree,1400,4728,0.10876569747924805,Manhattan
Twice around the tree,1600,3763,0.13735952774683635,Euclides
Twice around the tree,1600,4894,0.14538009961446127,Manhattan
Twice around the tree,1800,4027,0.1592705289522807,Euclides
Twice around the tree,1800,5314,0.1906575918197632,Manhattan
Twice around the tree,2000,4192,0.18550709883371988,Euclides
Twice around the tree,2000,5508,0.2603090445200602,Manhattan
Twice around the tree,2200,4438,0.24680209557215374,Euclides
Twice around the tree,2200,5760,0.2848617434501648,Manhattan
Twice around the tree,2400,4677,0.3056376298268636,Euclides
Twice around the tree,2400,6094,0.3771322210629781,Manhattan
Twice around the tree,2600,4913,0.38880753914515176,Euclides
Twice around the tree,2600,6230,0.41688741048177086,Manhattan
Twice around the tree,2800,5039,0.5691800475120544,Euclides
Twice around the tree,2800,6374,0.5502022266387939,Manhattan
Twice around the tree,3000,5068,0.6912760297457378,Euclides
Twice around the tree,3000,6640,0.8236924290657044,Manhattan
